Unit_Name,CP,IA,GA,TE,Total_score,Year,Program,Cohort
Unit 3,17.87,17.68,19.35,32.71,87.62,2024,MGB,Jan-24
Unit 4,15.12,18.4,17.58,36.87,87.96,2024,MGB,Jan-24
Unit 5,18.12,17.84,18.98,31.93,86.87,2024,MGB,Jan-24
Unit 1,18.39,16.21,15.02,36.21,85.83,2024,MGB,May-24
Unit 2,19.59,15.77,16.97,31.19,83.53,2024,MGB,May-24
Unit 3,19.2,15.3,19.4,34.17,88.07,2024,MGB,May-24
Unit 4,16.92,15.66,15.49,33.23,81.3,2024,MGB,May-24
Unit 5,19.5,18.66,18.42,34.06,90.65,2024,MGB,May-24
Unit 1,16.39,17.5,19.63,39.47,92.99,2024,MGB,Sep-24
Unit 2,16.61,18.76,16.79,34.94,87.1,2024,MGB,Sep-24
Unit 3,15.5,19.83,16.27,34.31,85.91,2024,MGB,Sep-24
Unit 4,15.03,15.26,17.62,33.38,81.28,2024,MGB,Sep-24
Unit 5,18.93,17.07,17.65,31.33,84.99,2024,MGB,Sep-24
Unit 1,18.42,16.79,17.07,33.53,85.81,2024,GMBA,Jan-24
Unit 2,16.63,15.77,19.46,38.62,90.47,2024,GMBA,Jan-24
Unit 3,16.3,18.85,17.94,34.72,87.82,2024,GMBA,Jan-24
Unit 4,16.48,15.72,19.24,32.02,83.46,2024,GMBA,Jan-24
Unit 5,17.65,19.56,19.99,30.17,87.37,2024,GMBA,Jan-24
Unit 1,18.88,19.18,19.1,38.67,95.84,2024,GMBA,May-24
Unit 2,18.65,17.26,19.79,34.08,89.79,2024,GMBA,May-24
Unit 3,15.23,18.11,19.05,32.68,85.07,2024,GMBA,May-24
Unit 4,19.58,17.56,17.06,31.73,85.93,2024,GMBA,May-24
Unit 5,18.99,16.66,15.24,36.11,87.01,2024,GMBA,May-24
Unit 1,17.67,15.15,18.04,38.73,89.6,2024,GMBA,Sep-24
Unit 2,18.73,16.06,18.34,30.12,83.26,2024,GMBA,Sep-24
Unit 3,18.85,18.19,19.12,34.76,90.92,2024,GMBA,Sep-24
Unit 4,17.42,19.22,19.11,35.76,91.51,2024,GMBA,Sep-24
Unit 5,17.43,19.2,16.68,31.53,84.85,2024,GMBA,Sep-24
